ApsimVersion = 7.4
Title = Silt fertilised
           Date           year            day           rain      dlayer(1)      dlayer(2)      dlayer(3)      dlayer(4)      dlayer(5)      dlayer(6)            esw          drain      NO3_Total      NH4_Total         urea()         dnit()         no3(1)         no3(2)         no3(3)         no3(4)         no3(5)         no3(6)         nh4(1)         nh4(2)         nh4(3)         nh4(4)         nh4(5)         nh4(6)
     18/01/2001           2001             18          0.000        150.000        150.000        300.000        300.000        300.000        300.000        100.125          0.000           60.7           51.8            2.1            0.0           53.4            3.2            1.4            0.9            0.8            1.0           51.5            0.2            0.1            0.0            0.0            0.0
     19/01/2001           2001             19          0.000        150.000        150.000        300.000        300.000        300.000        300.000         99.922          0.000           71.6           42.6            0.7            0.0           64.1            3.2            1.5            1.0            0.8            1.0           42.3            0.2            0.1            0.0            0.0            0.0
     20/01/2001           2001             20          0.000        150.000        150.000        300.000        300.000        300.000        300.000         99.721          0.000           81.1           33.9            0.3            0.0           73.6            3.3            1.5            1.0            0.8            1.0           33.6            0.2            0.1            0.0            0.0            0.0
     21/01/2001           2001             21          0.000        150.000        150.000        300.000        300.000        300.000        300.000         99.523          0.000           89.2           26.4            0.1            0.0           81.5            3.4            1.6            1.0            0.8            1.0           26.0            0.2            0.1            0.0            0.0            0.0
     22/01/2001           2001             22          0.000        150.000        150.000        300.000        300.000        300.000        300.000         99.328          0.000           95.9           20.2            0.0            0.0           88.0            3.5            1.6            1.0            0.8            1.0           19.8            0.2            0.1            0.0            0.0            0.0
     23/01/2001           2001             23          0.000        150.000        150.000        300.000        300.000        300.000        300.000         99.135          0.000          101.3           15.2            0.0            0.0           93.3            3.6            1.7            1.0            0.8            1.0           14.8            0.2            0.1            0.0            0.0            0.0
     24/01/2001           2001             24          0.000        150.000        150.000        300.000        300.000        300.000        300.000         98.944          0.000          105.5           11.3            0.0            0.0           97.4            3.6            1.8            1.0            0.8            1.0           10.9            0.2            0.1            0.0            0.0            0.0
     25/01/2001           2001             25          0.000        150.000        150.000        300.000        300.000        300.000        300.000         98.756          0.000          108.6            8.6            0.0            0.0          100.4            3.7            1.8            1.0            0.8            0.9            8.2            0.2            0.1            0.0            0.0            0.0
     26/01/2001           2001             26          0.000        150.000        150.000        300.000        300.000        300.000        300.000         98.569          0.000          110.9            6.6            0.0            0.0          102.5            3.8            1.9            1.0            0.8            0.9            6.2            0.2            0.2            0.0            0.0            0.0
     27/01/2001           2001             27          0.000        150.000        150.000        300.000        300.000        300.000        300.000         98.385          0.000          112.7            5.2            0.0            0.0          104.1            3.9            1.9            1.0            0.8            0.9            4.8            0.3            0.2            0.0            0.0            0.0
     28/01/2001           2001             28          0.000        150.000        150.000        300.000        300.000        300.000        300.000         98.202          0.000          114.0            4.2            0.0            0.0          105.3            4.0            2.0            1.0            0.8            0.9            3.8            0.3            0.2            0.0            0.0            0.0
     29/01/2001           2001             29          0.000        150.000        150.000        300.000        300.000        300.000        300.000         98.022          0.000          115.1            3.5            0.0            0.0          106.2            4.1            2.0            1.0            0.8            0.9            3.0            0.3            0.2            0.0            0.0            0.0
     30/01/2001           2001             30          0.000        150.000        150.000        300.000        300.000        300.000        300.000         97.843          0.000          116.0            2.9            0.0            0.0          107.0            4.2            2.1            1.0            0.8            0.9            2.4            0.3            0.2            0.0            0.0            0.0
     31/01/2001           2001             31          0.000        150.000        150.000        300.000        300.000        300.000        300.000         97.666          0.000          116.8            2.4            0.0            0.0          107.6            4.3            2.1            1.0            0.8            0.9            2.0            0.3            0.2            0.0            0.0            0.0
     01/02/2001           2001             32          0.000        150.000        150.000        300.000        300.000        300.000        300.000         97.491          0.000          117.5            2.1            0.0            0.0          108.2            4.4            2.2            1.1            0.8            0.9            1.6            0.3            0.2            0.0            0.0            0.0
     02/02/2001           2001             33          0.000        150.000        150.000        300.000        300.000        300.000        300.000         97.317          0.000          118.2            1.7            0.0            0.0          108.7            4.5            2.3            1.1            0.8            0.9            1.2            0.3            0.2            0.0            0.0            0.0
     03/02/2001           2001             34          0.000        150.000        150.000        300.000        300.000        300.000        300.000         97.146          0.000          118.8            1.5            0.0            0.0          109.1            4.6            2.3            1.1            0.8            0.9            1.0            0.3            0.2            0.0            0.0            0.0
     04/02/2001           2001             35          0.000        150.000        150.000        300.000        300.000        300.000        300.000         96.975          0.000          119.4            1.3            0.0            0.0          109.5            4.7            2.4            1.1            0.8            0.9            0.8            0.3            0.2            0.0            0.0            0.0
     05/02/2001           2001             36          0.000        150.000        150.000        300.000        300.000        300.000        300.000         96.807          0.000          119.9            1.2            0.0            0.0          109.8            4.8            2.5            1.1            0.7            0.9            0.7            0.3            0.2            0.0            0.0            0.0
     06/02/2001           2001             37          0.000        150.000        150.000        300.000        300.000        300.000        300.000         96.640          0.000          120.4            1.1            0.0            0.0          110.1            5.0            2.6            1.1            0.7            0.9            0.6            0.3            0.2            0.0            0.0            0.0
     07/02/2001           2001             38          0.000        150.000        150.000        300.000        300.000        300.000        300.000         96.474          0.000          120.9            1.0            0.0            0.0          110.3            5.1            2.7            1.1            0.7            0.9            0.5            0.3            0.2            0.0            0.0            0.0
     08/02/2001           2001             39          0.000        150.000        150.000        300.000        300.000        300.000        300.000         96.310          0.000          121.3            1.0            0.0            0.0          110.5            5.2            2.7            1.2            0.7            0.9            0.5            0.3            0.2            0.0            0.0            0.0
     09/02/2001           2001             40          0.000        150.000        150.000        300.000        300.000        300.000        300.000         96.147          0.000          121.7            1.0            0.0            0.0          110.7            5.3            2.8            1.2            0.7            0.9            0.4            0.3            0.2            0.0            0.0            0.0
     10/02/2001           2001             41          0.000        150.000        150.000        300.000        300.000        300.000        300.000         95.985          0.000          122.1            0.9            0.0            0.0          110.9            5.5            2.9            1.2            0.7            0.9            0.4            0.3            0.2            0.0            0.0            0.0
     11/02/2001           2001             42          0.000        150.000        150.000        300.000        300.000        300.000        300.000         95.825          0.000          122.4            0.9            0.0            0.0          111.0            5.6            2.9            1.2            0.7            0.9            0.4            0.3            0.2            0.0            0.0            0.0
     12/02/2001           2001             43          0.000        150.000        150.000        300.000        300.000        300.000        300.000         95.666          0.000          122.8            0.9            0.0            0.0          111.2            5.7            3.0            1.2            0.7            0.9            0.4            0.3            0.2            0.0            0.0            0.0
     13/02/2001           2001             44          0.000        150.000        150.000        300.000        300.000        300.000        300.000         95.509          0.000          123.1            0.9            0.0            0.0          111.3            5.8            3.1            1.2            0.7            0.9            0.4            0.3            0.2            0.0            0.0            0.0
     14/02/2001           2001             45          0.000        150.000        150.000        300.000        300.000        300.000        300.000         95.352          0.000          123.5            0.9            0.0            0.0          111.5            6.0            3.2            1.3            0.7            0.9            0.4            0.3            0.2            0.0            0.0            0.0
     15/02/2001           2001             46          0.000        150.000        150.000        300.000        300.000        300.000        300.000         95.197          0.000          123.9            0.9            0.0            0.0          111.6            6.1            3.3            1.3            0.7            0.9            0.4            0.3            0.2            0.0            0.0            0.0
     16/02/2001           2001             47          0.000        150.000        150.000        300.000        300.000        300.000        300.000         95.043          0.000          124.3            0.9            0.0            0.0          111.7            6.3            3.4            1.3            0.7            0.9            0.4            0.3            0.2            0.0            0.0            0.0
     17/02/2001           2001             48          0.000        150.000        150.000        300.000        300.000        300.000        300.000         94.891          0.000          124.7            0.9            0.0            0.0          111.8            6.4            3.4            1.3            0.7            0.9            0.4            0.3            0.2            0.0            0.0            0.0
     18/02/2001           2001             49          0.000        150.000        150.000        300.000        300.000        300.000        300.000         94.739          0.000          125.1            1.0            0.0            0.0          112.0            6.6            3.5            1.3            0.7            0.9            0.4            0.3            0.2            0.0            0.0            0.0
     19/02/2001           2001             50          0.000        150.000        150.000        300.000        300.000        300.000        300.000         94.588          0.000          125.5            1.0            0.0            0.0          112.1            6.7            3.6            1.4            0.7            0.9            0.4            0.3            0.2            0.0            0.0            0.0
     20/02/2001           2001             51          0.000        150.000        150.000        300.000        300.000        300.000        300.000         94.439          0.000          125.8            1.0            0.0            0.0          112.2            6.9            3.7            1.4            0.7            0.9            0.4            0.3            0.2            0.0            0.0            0.0
     21/02/2001           2001             52          0.000        150.000        150.000        300.000        300.000        300.000        300.000         94.290          0.000          126.2            1.0            0.0            0.0          112.3            7.0            3.8            1.4            0.7            0.9            0.5            0.3            0.2            0.0            0.0            0.0
     22/02/2001           2001             53          6.000        150.000        150.000        300.000        300.000        300.000        300.000         96.993          0.000          125.6            0.8            0.0            0.0          111.4            7.2            3.9            1.4            0.7            0.9            0.3            0.3            0.2            0.0            0.0            0.0
     23/02/2001           2001             54          0.000        150.000        150.000        300.000        300.000        300.000        300.000         96.623          0.000          125.1            0.7            0.0            0.0          110.7            7.3            4.0            1.5            0.7            0.9            0.2            0.3            0.2            0.0            0.0            0.0
     24/02/2001           2001             55          0.000        150.000        150.000        300.000        300.000        300.000        300.000         96.458          0.000          124.9            0.7            0.0            0.0          110.2            7.5            4.1            1.5            0.7            0.9            0.2            0.3            0.2            0.0            0.0            0.0
     25/02/2001           2001             56          0.000        150.000        150.000        300.000        300.000        300.000        300.000         96.294          0.000          124.9            0.7            0.0            0.0          109.9            7.6            4.2            1.5            0.7            0.9            0.2            0.3            0.2            0.0            0.0            0.0
     26/02/2001           2001             57          0.000        150.000        150.000        300.000        300.000        300.000        300.000         96.131          0.000          125.1            0.7            0.0            0.0          109.9            7.8            4.2            1.5            0.7            0.9            0.2            0.3            0.2            0.0            0.0            0.0
     27/02/2001           2001             58          4.000        150.000        150.000        300.000        300.000        300.000        300.000         96.465          0.000          125.3            0.7            0.0            0.0          109.8            7.9            4.3            1.5            0.7            0.9            0.2            0.3            0.2            0.0            0.0            0.0
     28/02/2001           2001             59          0.000        150.000        150.000        300.000        300.000        300.000        300.000         96.301          0.000          125.7            0.8            0.0            0.0          110.0            8.1            4.4            1.6            0.7            0.9            0.2            0.3            0.2            0.0            0.0            0.0
     01/03/2001           2001             60          0.000        150.000        150.000        300.000        300.000        300.000        300.000         96.139          0.000          126.1            0.8            0.0            0.0          110.1            8.2            4.5            1.6            0.7            0.9            0.3            0.3            0.2            0.0            0.0            0.0
     02/03/2001           2001             61          0.000        150.000        150.000        300.000        300.000        300.000        300.000         95.977          0.000          126.6            0.9            0.0            0.0          110.3            8.4            4.6            1.6            0.7            0.9            0.3            0.3            0.2            0.1            0.0            0.0
     03/03/2001           2001             62          0.000        150.000        150.000        300.000        300.000        300.000        300.000         95.817          0.000          127.0            0.9            0.0            0.0          110.5            8.6            4.7            1.6            0.7            0.9            0.4            0.3            0.2            0.1            0.0            0.0
     04/03/2001           2001             63          0.000        150.000        150.000        300.000        300.000        300.000        300.000         95.658          0.000          127.5            0.9            0.0            0.0          110.7            8.7            4.8            1.7            0.7            0.9            0.4            0.3            0.2            0.1            0.0            0.0
     05/03/2001           2001             64          0.000        150.000        150.000        300.000        300.000        300.000        300.000         95.501          0.000          128.0            1.0            0.0            0.0          110.9            8.9            4.9            1.7            0.7            0.9            0.4            0.3            0.2            0.1            0.0            0.0
     06/03/2001           2001             65          0.000        150.000        150.000        300.000        300.000        300.000        300.000         95.344          0.000          128.4            1.0            0.0            0.0          111.1            9.0            5.0            1.7            0.7            0.9            0.4            0.3            0.2            0.1            0.0            0.0
     07/03/2001           2001             66          0.000        150.000        150.000        300.000        300.000        300.000        300.000         95.189          0.000          128.9            1.0            0.0            0.0          111.2            9.2            5.1            1.7            0.7            0.9            0.4            0.3            0.2            0.1            0.0            0.0
     08/03/2001           2001             67          0.000        150.000        150.000        300.000        300.000        300.000        300.000         95.035          0.000          129.3            1.0            0.0            0.0          111.4            9.4            5.2            1.8            0.7            0.9            0.4            0.3            0.2            0.1            0.0            0.0
     09/03/2001           2001             68          0.000        150.000        150.000        300.000        300.000        300.000        300.000         94.883          0.000          129.8            1.0            0.0            0.0          111.6            9.5            5.3            1.8            0.7            0.9            0.4            0.3            0.2            0.1            0.0            0.0
     10/03/2001           2001             69          0.000        150.000        150.000        300.000        300.000        300.000        300.000         94.731          0.000          130.2            1.0            0.0            0.0          111.7            9.7            5.3            1.8            0.7            0.9            0.4            0.3            0.2            0.1            0.0            0.0
     11/03/2001           2001             70          0.000        150.000        150.000        300.000        300.000        300.000        300.000         94.581          0.000          130.7            1.0            0.0            0.0          111.9            9.8            5.4            1.8            0.7            0.9            0.5            0.3            0.2            0.1            0.0            0.0
     12/03/2001           2001             71          0.000        150.000        150.000        300.000        300.000        300.000        300.000         94.431          0.000          131.1            1.0            0.0            0.0          112.0           10.0            5.5            1.9            0.7            0.9            0.5            0.3            0.2            0.1            0.0            0.0
     13/03/2001           2001             72          0.000        150.000        150.000        300.000        300.000        300.000        300.000         94.283          0.000          131.6            1.0            0.0            0.0          112.2           10.2            5.6            1.9            0.7            0.9            0.5            0.3            0.2            0.1            0.0            0.0
     14/03/2001           2001             73          0.000        150.000        150.000        300.000        300.000        300.000        300.000         94.136          0.000          132.0            1.0            0.0            0.0          112.3           10.4            5.8            1.9            0.7            0.9            0.5            0.3            0.2            0.1            0.0            0.0
     15/03/2001           2001             74          0.000        150.000        150.000        300.000        300.000        300.000        300.000         93.989          0.000          132.5            1.0            0.0            0.0          112.5           10.5            5.9            1.9            0.7            0.9            0.5            0.3            0.2            0.1            0.0            0.0
     16/03/2001           2001             75          0.000        150.000        150.000        300.000        300.000        300.000        300.000         93.844          0.000          133.0            1.1            0.0            0.0          112.6           10.7            6.0            2.0            0.7            0.9            0.5            0.3            0.2            0.1            0.0            0.0
     17/03/2001           2001             76          0.000        150.000        150.000        300.000        300.000        300.000        300.000         93.700          0.000          133.5            1.1            0.0            0.0          112.8           10.9            6.1            2.0            0.8            0.9            0.6            0.3            0.2            0.1            0.0            0.0
     18/03/2001           2001             77          0.000        150.000        150.000        300.000        300.000        300.000        300.000         93.556          0.000          133.9            1.1            0.0            0.0          112.9           11.1            6.2            2.0            0.8            0.9            0.6            0.3            0.2            0.1            0.0            0.0
     19/03/2001           2001             78          0.000        150.000        150.000        300.000        300.000        300.000        300.000         93.414          0.000          134.4            1.1            0.0            0.0          113.0           11.3            6.3            2.1            0.8            0.9            0.6            0.3            0.2            0.1            0.0            0.0
     20/03/2001           2001             79          0.000        150.000        150.000        300.000        300.000        300.000        300.000         93.272          0.000          134.9            1.1            0.0            0.0          113.2           11.5            6.4            2.1            0.8            0.9            0.6            0.3            0.2            0.0            0.0            0.0
     21/03/2001           2001             80          0.000        150.000        150.000        300.000        300.000        300.000        300.000         93.131          0.000          135.3            1.1            0.0            0.0          113.3           11.7            6.5            2.1            0.8            0.9            0.6            0.3            0.2            0.0            0.0            0.0
     22/03/2001           2001             81          0.000        150.000        150.000        300.000        300.000        300.000        300.000         92.992          0.000          135.8            1.1            0.0            0.0          113.4           11.9            6.6            2.1            0.8            0.9            0.6            0.3            0.2            0.0            0.0            0.0
     23/03/2001           2001             82          0.000        150.000        150.000        300.000        300.000        300.000        300.000         92.853          0.000          136.2            1.1            0.0            0.0          113.5           12.1            6.8            2.2            0.8            0.9            0.6            0.3            0.2            0.0            0.0            0.0
     24/03/2001           2001             83          1.000        150.000        150.000        300.000        300.000        300.000        300.000         92.715          0.000          136.7            1.1            0.0            0.0          113.6           12.3            6.9            2.2            0.8            0.9            0.6            0.3            0.2            0.0            0.0            0.0
     25/03/2001           2001             84          0.000        150.000        150.000        300.000        300.000        300.000        300.000         92.577          0.000          137.1            1.1            0.0            0.0          113.7           12.5            7.0            2.2            0.8            0.9            0.6            0.3            0.2            0.1            0.0            0.0
     26/03/2001           2001             85          0.000        150.000        150.000        300.000        300.000        300.000        300.000         92.441          0.000          137.5            1.1            0.0            0.0          113.8           12.7            7.1            2.3            0.8            0.9            0.6            0.3            0.2            0.1            0.0            0.0
     27/03/2001           2001             86          0.000        150.000        150.000        300.000        300.000        300.000        300.000         92.305          0.000          137.9            1.2            0.0            0.0          113.9           12.8            7.2            2.3            0.8            0.9            0.6            0.3            0.2            0.1            0.0            0.0
     28/03/2001           2001             87          0.000        150.000        150.000        300.000        300.000        300.000        300.000         92.171          0.000          138.3            1.2            0.0            0.0          114.0           13.0            7.3            2.3            0.8            0.9            0.7            0.3            0.2            0.1            0.0            0.0
     29/03/2001           2001             88          0.000        150.000        150.000        300.000        300.000        300.000        300.000         92.037          0.000          138.7            1.2            0.0            0.0          114.1           13.2            7.4            2.3            0.8            0.9            0.7            0.3            0.2            0.1            0.0            0.0
     30/03/2001           2001             89          0.000        150.000        150.000        300.000        300.000        300.000        300.000         91.903          0.000          139.1            1.2            0.0            0.0          114.1           13.4            7.5            2.4            0.8            0.9            0.7            0.3            0.2            0.1            0.0            0.0
     31/03/2001           2001             90          3.000        150.000        150.000        300.000        300.000        300.000        300.000         91.771          0.000          139.5            1.2            0.0            0.0          114.2           13.6            7.6            2.4            0.8            0.9            0.7            0.3            0.2            0.1            0.0            0.0
     01/04/2001           2001             91          0.000        150.000        150.000        300.000        300.000        300.000        300.000         91.639          0.000          139.9            1.2            0.0            0.0          114.2           13.8            7.7            2.4            0.8            0.9            0.7            0.3            0.2            0.1            0.0            0.0
     02/04/2001           2001             92          0.000        150.000        150.000        300.000        300.000        300.000        300.000         90.731          0.000          140.2            1.2            0.0            0.0          114.3           14.0            7.8            2.5            0.8            0.9            0.7            0.3            0.2            0.1            0.0            0.0
     03/04/2001           2001             93          7.000        150.000        150.000        300.000        300.000        300.000        300.000         92.332          0.000          140.0            0.8            0.0            0.0          113.7           14.1            7.9            2.5            0.8            0.9            0.3            0.3            0.2            0.1            0.0            0.0
     04/04/2001           2001             94          0.000        150.000        150.000        300.000        300.000        300.000        300.000         91.491          0.000          139.6            0.6            0.0            0.0          113.0           14.3            8.0            2.5            0.8            1.0            0.1            0.3            0.2            0.1            0.0            0.0
     05/04/2001           2001             95          0.000        150.000        150.000        300.000        300.000        300.000        300.000         91.300          0.000          139.5            0.6            0.0            0.0          112.6           14.5            8.1            2.6            0.8            1.0            0.1            0.3            0.2            0.1            0.0            0.0
     06/04/2001           2001             96          0.000        150.000        150.000        300.000        300.000        300.000        300.000         91.110          0.000          139.6            0.6            0.0            0.0          112.3           14.7            8.3            2.6            0.8            1.0            0.1            0.3            0.2            0.1            0.0            0.0
     07/04/2001           2001             97          0.000        150.000        150.000        300.000        300.000        300.000        300.000         90.922          0.000          139.9            0.5            0.0            0.0          112.3           14.9            8.4            2.6            0.8            1.0            0.0            0.3            0.2            0.1            0.0            0.0
     08/04/2001           2001             98          0.000        150.000        150.000        300.000        300.000        300.000        300.000         90.735          0.000          140.2            0.5            0.0            0.0          112.3           15.1            8.5            2.6            0.8            1.0            0.1            0.3            0.2            0.1            0.0            0.0
     09/04/2001           2001             99          0.000        150.000        150.000        300.000        300.000        300.000        300.000         90.550          0.000          140.6            0.5            0.0            0.0          112.3           15.2            8.6            2.7            0.8            1.0            0.1            0.3            0.2            0.1            0.0            0.0
     10/04/2001           2001            100          0.000        150.000        150.000        300.000        300.000        300.000        300.000         90.485          0.000          140.9            0.5            0.0            0.0          112.3           15.4            8.7            2.7            0.8            1.0            0.1            0.3            0.2            0.1            0.0            0.0
     11/04/2001           2001            101          0.000        150.000        150.000        300.000        300.000        300.000        300.000         90.454          0.000          141.3            0.5            0.0            0.0          112.3           15.6            8.8            2.7            0.8            1.0            0.1            0.3            0.2            0.1            0.0            0.0
     12/04/2001           2001            102          0.000        150.000        150.000        300.000        300.000        300.000        300.000         90.421          0.000          141.6            0.5            0.0            0.0          112.3           15.8            8.9            2.8            0.8            1.0            0.1            0.3            0.2            0.1            0.0            0.0
     13/04/2001           2001            103          0.000        150.000        150.000        300.000        300.000        300.000        300.000         90.389          0.000          141.9            0.5            0.0            0.0          112.3           16.0            9.0            2.8            0.8            1.0            0.1            0.3            0.2            0.1            0.0            0.0
     14/04/2001           2001            104          0.000        150.000        150.000        300.000        300.000        300.000        300.000         90.356          0.000          142.2            0.5            0.0            0.0          112.4           16.1            9.1            2.8            0.8            1.0            0.1            0.3            0.2            0.1            0.0            0.0
     15/04/2001           2001            105          0.000        150.000        150.000        300.000        300.000        300.000        300.000         90.322          0.000          142.5            0.5            0.0            0.0          112.4           16.3            9.2            2.8            0.8            1.0            0.1            0.3            0.2            0.1            0.0            0.0
     16/04/2001           2001            106          0.000        150.000        150.000        300.000        300.000        300.000        300.000         90.289          0.000          142.8            0.5            0.0            0.0          112.4           16.5            9.3            2.9            0.8            1.0            0.1            0.3            0.2            0.1            0.0            0.0
     17/04/2001           2001            107          0.000        150.000        150.000        300.000        300.000        300.000        300.000         90.255          0.000          143.1            0.5            0.0            0.0          112.4           16.6            9.4            2.9            0.8            1.0            0.1            0.3            0.2            0.1            0.0            0.0
     18/04/2001           2001            108          0.000        150.000        150.000        300.000        300.000        300.000        300.000         90.221          0.000          143.4            0.6            0.0            0.0          112.4           16.8            9.5            2.9            0.8            1.0            0.1            0.3            0.2            0.1            0.0            0.0
     19/04/2001           2001            109          2.000        150.000        150.000        300.000        300.000        300.000        300.000         90.186          0.000          143.7            0.6            0.0            0.0          112.4           16.9            9.6            3.0            0.8            1.0            0.1            0.3            0.2            0.1            0.0            0.0
     20/04/2001           2001            110          0.000        150.000        150.000        300.000        300.000        300.000        300.000         90.151          0.000          144.0            0.5            0.0            0.0          112.4           17.1            9.7            3.0            0.8            1.0            0.1            0.3            0.2            0.1            0.0            0.0
     21/04/2001           2001            111          0.000        150.000        150.000        300.000        300.000        300.000        300.000         90.116          0.000          144.3            0.5            0.0            0.0          112.4           17.3            9.8            3.0            0.8            1.0            0.1            0.3            0.2            0.1            0.0            0.0
     22/04/2001           2001            112          0.000        150.000        150.000        300.000        300.000        300.000        300.000         90.080          0.000          144.7            0.5            0.0            0.0          112.5           17.4            9.9            3.0            0.8            1.0            0.1            0.3            0.2            0.1            0.0            0.0
     23/04/2001           2001            113          1.000        150.000        150.000        300.000        300.000        300.000        300.000         90.045          0.000          145.0            0.5            0.0            0.0          112.5           17.6           10.0            3.1            0.8            1.0            0.1            0.2            0.2            0.1            0.0            0.0
     24/04/2001           2001            114          0.000        150.000        150.000        300.000        300.000        300.000        300.000         90.008          0.000          145.4            0.5            0.0            0.0          112.5           17.8           10.1            3.1            0.8            1.0            0.1            0.2            0.2            0.0            0.0            0.0
     25/04/2001           2001            115          0.000        150.000        150.000        300.000        300.000        300.000        300.000         89.972          0.000          145.7            0.5            0.0            0.0          112.5           18.0           10.3            3.1            0.9            1.0            0.1            0.2            0.2            0.0            0.0            0.0
     26/04/2001           2001            116          0.000        150.000        150.000        300.000        300.000        300.000        300.000         89.936          0.000          146.0            0.5            0.0            0.0          112.5           18.2           10.4            3.2            0.9            1.0            0.1            0.2            0.2            0.0            0.0            0.0
     27/04/2001           2001            117          0.000        150.000        150.000        300.000        300.000        300.000        300.000         89.899          0.000          146.4            0.5            0.0            0.0          112.5           18.3           10.5            3.2            0.9            1.0            0.1            0.2            0.2            0.0            0.0            0.0
     28/04/2001           2001            118          0.000        150.000        150.000        300.000        300.000        300.000        300.000         89.862          0.000          146.7            0.5            0.0            0.0          112.5           18.5           10.6            3.2            0.9            1.0            0.1            0.2            0.2            0.0            0.0            0.0
