ApsimVersion = 7.5
Title = Effluent-irrigated Eucalypt Forest Block
           Date            esw            LAI   adm_green(1)   adm_green(2)   adm_green(3)             fw             fn     Population          no3()          nh4()           cl()          drain    no3_leached     irrigation irrigation_no3
     20/01/1980        131.072          0.000            0.0            0.0            0.0          0.000          0.000              ?           35.4            1.6          650.0          0.000            0.0          0.000            0.0
     21/01/1980        130.667          0.000            0.0            0.0            0.0          0.000          0.000              ?           35.5            1.6          650.0          0.000            0.0          0.000            0.0
     22/01/1980        130.272          0.000            0.0            0.0            0.0          0.000          0.000              ?           35.6            1.6          650.0          0.000            0.0          0.000            0.0
     23/01/1980        129.888          0.000            0.0            0.0            0.0          0.000          0.000              ?           35.7            1.6          650.0          0.000            0.0          0.000            0.0
     24/01/1980        129.512          0.000            0.0            0.0            0.0          0.000          0.000              ?           35.9            1.6          650.0          0.000            0.0          0.000            0.0
     25/01/1980        129.218          0.000            0.0            0.0            0.0          0.000          0.000              ?           36.0            1.6          650.0          0.000            0.0          0.000            0.0
     26/01/1980        129.052          0.000            0.0            0.0            0.0          0.000          0.000              ?           36.1            1.6          650.0          0.000            0.0          0.000            0.0
     27/01/1980        128.887          0.000            0.0            0.0            0.0          0.000          0.000              ?           36.2            1.6          650.0          0.000            0.0          0.000            0.0
     28/01/1980        132.569          0.000            0.0            0.0            0.0          0.000          0.000              ?           36.0            1.6          650.0          0.000            0.0          0.000            0.0
     29/01/1980        132.120          0.000            0.0            0.0            0.0          0.000          0.000              ?           36.0            1.6          650.0          0.000            0.0          0.000            0.0
     30/01/1980        131.686          0.000            0.0            0.0            0.0          0.000          0.000              ?           36.1            1.6          650.0          0.000            0.0          0.000            0.0
     31/01/1980        131.264          0.000            0.0            0.0            0.0          0.000          0.000              ?           36.2            1.6          650.0          0.000            0.0          0.000            0.0
     01/02/1980        130.854          0.000            0.0            0.0            0.0          0.000          0.000              ?           36.4            1.6          650.0          0.000            0.0          0.000            0.0
     02/02/1980        130.455          0.000            0.0            0.0            0.0          0.000          0.000              ?           36.5            1.6          650.0          0.000            0.0          0.000            0.0
     03/02/1980        130.066          0.000            0.0            0.0            0.0          0.000          0.000              ?           36.7            1.6          650.0          0.000            0.0          0.000            0.0
     04/02/1980        129.686          0.000            0.0            0.0            0.0          0.000          0.000              ?           36.8            1.7          650.0          0.000            0.0          0.000            0.0
     05/02/1980        129.315          0.000            0.0            0.0            0.0          0.000          0.000              ?           37.0            1.7          650.0          0.000            0.0          0.000            0.0
     06/02/1980        130.319          0.000            0.0            0.0            0.0          0.000          0.000              ?           37.0            1.6          650.0          0.000            0.0          0.000            0.0
     07/02/1980        129.933          0.000            0.0            0.0            0.0          0.000          0.000              ?           37.1            1.6          650.0          0.000            0.0          0.000            0.0
     08/02/1980        129.556          0.000            0.0            0.0            0.0          0.000          0.000              ?           37.2            1.6          650.0          0.000            0.0          0.000            0.0
     09/02/1980        129.188          0.000            0.0            0.0            0.0          0.000          0.000              ?           37.4            1.6          650.0          0.000            0.0          0.000            0.0
     10/02/1980        140.986          0.000            0.0            0.0            0.0          0.000          0.000              ?           37.5            1.7          650.0          0.000            0.0          0.000            0.0
     11/02/1980        139.555          0.000            0.0            0.0            0.0          0.000          0.000              ?           37.7            1.7          650.0          0.000            0.0          0.000            0.0
     12/02/1980        138.666          0.000            0.0            0.0            0.0          0.000          0.000              ?           37.8            1.7          650.0          0.000            0.0          0.000            0.0
     13/02/1980        137.874          0.000            0.0            0.0            0.0          0.000          0.000              ?           38.0            1.7          650.0          0.000            0.0          0.000            0.0
     14/02/1980        137.152          0.000            0.0            0.0            0.0          0.000          0.000              ?           38.2            1.7          650.0          0.000            0.0          0.000            0.0
     15/02/1980        136.485          0.000            0.0            0.0            0.0          0.000          0.000              ?           38.4            1.7          650.0          0.000            0.0          0.000            0.0
     16/02/1980        135.861          0.000            0.0            0.0            0.0          0.000          0.000              ?           38.6            1.7          650.0          0.000            0.0          0.000            0.0
     17/02/1980        135.274          0.000            0.0            0.0            0.0          0.000          0.000              ?           38.8            1.7          650.0          0.000            0.0          0.000            0.0
     18/02/1980        134.718          0.000            0.0            0.0            0.0          0.000          0.000              ?           39.0            1.7          650.0          0.000            0.0          0.000            0.0
     19/02/1980        134.187          0.000            0.0            0.0            0.0          0.000          0.000              ?           39.3            1.7          650.0          0.000            0.0          0.000            0.0
     20/02/1980        133.680          0.000            0.0            0.0            0.0          0.000          0.000              ?           39.5            1.6          650.0          0.000            0.0          0.000            0.0
     21/02/1980        133.192          0.000            0.0            0.0            0.0          0.000          0.000              ?           39.8            1.6          650.0          0.000            0.0          0.000            0.0
     22/02/1980        132.723          0.000            0.0            0.0            0.0          0.000          0.000              ?           40.0            1.6          650.0          0.000            0.0          0.000            0.0
     23/02/1980        132.269          0.000            0.0            0.0            0.0          0.000          0.000              ?           40.3            1.6          650.0          0.000            0.0          0.000            0.0
     24/02/1980        131.830          0.000            0.0            0.0            0.0          0.000          0.000              ?           40.5            1.6          650.0          0.000            0.0          0.000            0.0
     25/02/1980        132.952          0.000            0.0            0.0            0.0          0.000          0.000              ?           40.3            1.6          650.0          0.000            0.0          0.000            0.0
     26/02/1980        132.491          0.000            0.0            0.0            0.0          0.000          0.000              ?           40.2            1.6          650.0          0.000            0.0          0.000            0.0
     27/02/1980        132.045          0.000            0.0            0.0            0.0          0.000          0.000              ?           40.3            1.6          650.0          0.000            0.0          0.000            0.0
     28/02/1980        131.612          0.000            0.0            0.0            0.0          0.000          0.000              ?           40.5            1.6          650.0          0.000            0.0          0.000            0.0
     29/02/1980        131.193          0.000            0.0            0.0            0.0          0.000          0.000              ?           40.8            1.6          650.0          0.000            0.0          0.000            0.0
     01/03/1980        130.785          0.000            0.0            0.0            0.0          0.000          0.000              ?           41.0            1.6          650.0          0.000            0.0          0.000            0.0
     02/03/1980        130.387          0.000            0.0            0.0            0.0          0.000          0.000              ?           41.2            1.6          650.0          0.000            0.0          0.000            0.0
     03/03/1980        130.000          0.000            0.0            0.0            0.0          0.000          0.000              ?           41.5            1.5          650.0          0.000            0.0          0.000            0.0
     04/03/1980        129.621          0.000            0.0            0.0            0.0          0.000          0.000              ?           41.7            1.5          650.0          0.000            0.0          0.000            0.0
     05/03/1980        129.252          0.000            0.0            0.0            0.0          0.000          0.000              ?           42.0            1.5          650.0          0.000            0.0          0.000            0.0
     06/03/1980        128.890          0.000            0.0            0.0            0.0          0.000          0.000              ?           42.2            1.5          650.0          0.000            0.0          0.000            0.0
     07/03/1980        128.536          0.000            0.0            0.0            0.0          0.000          0.000              ?           42.4            1.5          650.0          0.000            0.0          0.000            0.0
     08/03/1980        128.188          0.000            0.0            0.0            0.0          0.000          0.000              ?           42.6            1.5          650.0          0.000            0.0          0.000            0.0
     09/03/1980        127.848          0.000            0.0            0.0            0.0          0.000          0.000              ?           42.8            1.5          650.0          0.000            0.0          0.000            0.0
     10/03/1980        140.569          0.000            0.0            0.0            0.0          0.000          0.000              ?           42.6            1.5          650.0          0.000            0.0          0.000            0.0
     11/03/1980        159.245          0.000            0.0            0.0            0.0          0.000          0.000              ?           42.5            1.5          650.0          0.000            0.0          0.000            0.0
     12/03/1980        156.599          0.000            0.0            0.0            0.0          0.000          0.000              ?           42.5            1.5          650.0          0.000            0.0          0.000            0.0
     13/03/1980        154.810          0.000            0.0            0.0            0.0          0.000          0.000              ?           42.6            1.5          650.0          0.000            0.0          0.000            0.0
     14/03/1980        153.570          0.000            0.0            0.0            0.0          0.000          0.000              ?           42.7            1.5          650.0          0.000            0.0          0.000            0.0
