ApsimVersion = 7.10
Title = Paddy Transplanted Aman Output
           Date           year      crop_type DaysAfterSowing Rice.DaysAfterSowing        cropsta           wagt            wso           rlai            zrt         ldstrs         lestrs         lrstrs           ancr          irrig    evap_amount        biomass          yield     TopsTotalN            esw N_avail_4_rice          NO3()   surfaceom_wt    water_table
   (dd/mm/yyyy)         (year)             ()              ()                  (d)             ()        (kg/ha)        (kg/ha)             ()            (m)             ()             ()             ()        (kg/ha)             ()             ()             ()             ()             ()           (mm)        (kg/ha)        (kg/ha)        (kg/ha)           (mm)
     24/01/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         12.920              ?              ?              ?        293.721            8.5           20.8          920.6       2095.481
     25/01/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         13.179              ?              ?              ?        293.468            8.9           21.3          920.6       2085.958
     26/01/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         13.432              ?              ?              ?        293.220            9.3           21.8          920.6       2077.154
     27/01/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         13.680              ?              ?              ?        292.976            9.6           22.2          920.6       2069.035
     28/01/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         13.924              ?              ?              ?        292.737           10.0           22.7          920.6       2061.568
     29/01/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         14.163              ?              ?              ?        292.502           10.3           23.1          920.6       2054.717
     30/01/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         14.398              ?              ?              ?        292.272           10.7           23.5          920.6       2048.447
     31/01/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         14.628              ?              ?              ?        292.045           11.0           24.0          920.6       2042.726
     01/02/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         14.855              ?              ?              ?        291.821           11.4           24.5          920.6       2037.520
     02/02/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         15.079              ?              ?              ?        291.602           11.8           25.0          920.6       2032.798
     03/02/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         15.298              ?              ?              ?        291.385           12.2           25.5          920.6       2028.530
     04/02/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         15.515              ?              ?              ?        291.172           12.6           26.0          920.6       2024.688
     05/02/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         15.728              ?              ?              ?        290.962           13.0           26.6          920.6       2021.229
     06/02/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         15.938              ?              ?              ?        290.754           13.4           27.2          920.6       2018.117
     07/02/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         16.146              ?              ?              ?        290.550           13.8           27.8          920.6       2015.315
     08/02/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         16.350              ?              ?              ?        290.348           14.3           28.4          920.6       2012.794
     09/02/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         16.552              ?              ?              ?        290.149           14.7           29.1          920.6       2010.525
     10/02/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         16.751              ?              ?              ?        289.952           15.2           29.7          920.6       2008.483
     11/02/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         16.948              ?              ?              ?        289.758           15.6           30.3          920.6       2006.645
     12/02/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         17.142              ?              ?              ?        289.565           16.1           31.0          920.6       2004.991
     13/02/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         17.335              ?              ?              ?        289.376           16.6           31.7          920.6       2003.502
     14/02/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         17.524              ?              ?              ?        289.188           17.1           32.4          920.6       2002.162
     15/02/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         17.712              ?              ?              ?        289.002           17.6           33.1          920.6       2000.956
     16/02/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         18.898              ?              ?              ?        288.819           18.0           33.8          920.6       1999.871
     17/02/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         19.081              ?              ?              ?        288.637           18.5           34.4          920.6       1998.894
     18/02/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         21.263              ?              ?              ?        288.457           18.9           35.0          920.6       1998.015
     19/02/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         21.443              ?              ?              ?        288.279           19.4           35.6          920.6       1997.224
     20/02/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         21.621              ?              ?              ?        288.103           19.8           36.2          920.6       1996.512
     21/02/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         21.797              ?              ?              ?        287.929           20.2           36.8          920.6       1995.871
     22/02/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         21.971              ?              ?              ?        287.756           20.6           37.5          920.6       1995.294
     23/02/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         22.144              ?              ?              ?        287.585           21.1           38.1          920.6       1994.775
     24/02/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         22.315              ?              ?              ?        287.415           21.5           38.7          920.6       1994.308
     25/02/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         22.485              ?              ?              ?        287.247           21.9           39.3          920.6       1993.887
     26/02/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         22.653              ?              ?              ?        292.021           21.5           39.5          870.5       1993.509
     27/02/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         26.879              ?              ?              ?        291.798           21.4           39.7          839.9       1993.168
     28/02/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         27.102              ?              ?              ?        291.578           21.6           40.1          824.9       1992.862
     29/02/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         27.322              ?              ?              ?        292.346           21.3           40.2          782.5       1992.586
     01/03/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         31.554              ?              ?              ?        292.118           21.3           40.4          753.5       1992.337
     02/03/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         32.782              ?              ?              ?        291.894           21.6           40.9          739.4       1992.114
     03/03/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         33.006              ?              ?              ?        291.673           22.0           41.4          739.4       1991.921
     04/03/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         33.227              ?              ?              ?        291.455           22.4           42.0          739.4       1991.762
     05/03/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         33.445              ?              ?              ?        291.241           22.8           42.5          739.4       1991.637
     06/03/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         33.659              ?              ?              ?        291.030           23.3           43.2          739.4       1991.547
     07/03/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         33.870              ?              ?              ?        290.822           23.7           43.8          739.4       1991.492
     08/03/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         34.078              ?              ?              ?        290.616           24.2           44.5          739.4       1991.469
     09/03/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         34.284              ?              ?              ?        290.413           24.6           45.2          739.4       1991.846
     10/03/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         34.487              ?              ?              ?        290.213           25.1           46.0          739.4       1991.846
     11/03/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         34.687              ?              ?              ?        290.016           25.6           46.8          739.4       1992.524
     12/03/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         34.884              ?              ?              ?        289.821           26.1           47.5          739.4       1992.524
     13/03/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         35.079              ?              ?              ?        289.628           26.6           48.3          739.4       1993.298
     14/03/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         35.272              ?              ?              ?        289.437           27.1           49.0          739.4       1993.298
     15/03/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         35.463              ?              ?              ?        303.424           24.4           49.2          699.2       1994.129
     16/03/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         41.795              ?              ?              ?        302.391           24.3           49.5          677.2       1994.129
     17/03/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         42.829              ?              ?              ?        301.597           24.5           49.9          671.2       1994.967
     18/03/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         43.623              ?              ?              ?        300.927           24.9           50.5          671.2       1994.967
     19/03/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         44.292              ?              ?              ?        300.337           25.4           51.2          671.2       1995.742
     20/03/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         44.882              ?              ?              ?        299.804           25.9           51.9          671.2       1995.742
     21/03/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         45.415              ?              ?              ?        299.314           26.4           52.6          671.2       1996.369
     22/03/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         45.906              ?              ?              ?        298.857           26.9           53.4          671.2       1996.369
     23/03/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         46.362              ?              ?              ?        298.428           27.4           54.1          671.2       1996.768
     24/03/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         46.791              ?              ?              ?        298.023           27.9           54.9          671.2       1996.768
     25/03/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         47.197              ?              ?              ?        297.637           28.4           55.6          671.2       1996.888
     26/03/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         47.583              ?              ?              ?        297.268           28.9           56.4          671.2       1996.888
     27/03/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         47.951              ?              ?              ?        296.915           29.4           57.2          671.2       1996.888
     28/03/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         48.305              ?              ?              ?        296.575           29.9           58.0          671.2       1996.888
     29/03/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         48.645              ?              ?              ?        296.246           30.4           58.8          671.2       1996.888
     30/03/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         48.973              ?              ?              ?        295.929           30.9           59.5          671.2       1996.888
     31/03/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         49.291              ?              ?              ?        295.621           31.4           60.3          671.2       1996.888
     01/04/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         49.598              ?              ?              ?        295.322           32.0           61.1          671.2       1996.888
     02/04/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         49.897              ?              ?              ?        295.032           32.5           61.9          671.2       1996.888
     03/04/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         50.188              ?              ?              ?        294.749           33.0           62.7          671.2       1996.888
     04/04/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         50.471              ?              ?              ?        294.473           33.5           63.5          671.2       1996.888
     05/04/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         50.747              ?              ?              ?        294.203           34.1           64.3          671.2       1996.888
     06/04/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         51.016              ?              ?              ?        293.940           34.6           65.0          671.2       1996.888
     07/04/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         51.280              ?              ?              ?        293.682           35.1           65.8          671.2       1996.888
     08/04/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         51.538              ?              ?              ?        293.429           35.6           66.6          671.2       1996.888
     09/04/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         51.790              ?              ?              ?        293.182           36.2           67.4          671.2       1996.888
     10/04/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         52.038              ?              ?              ?        292.939           36.7           68.2          671.2       1996.888
     11/04/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         52.281              ?              ?              ?        292.701           37.2           69.0          671.2       1996.888
     12/04/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         52.519              ?              ?              ?        292.466           37.8           69.8          671.2       1996.888
     13/04/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         52.753              ?              ?              ?        292.236           38.3           70.6          671.2       1996.888
     14/04/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         52.983              ?              ?              ?        292.010           38.9           71.3          671.2       1996.888
     15/04/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         53.210              ?              ?              ?        291.787           39.4           72.1          671.2       1996.888
     16/04/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         53.432              ?              ?              ?        291.568           40.0           72.9          671.2       1996.888
     17/04/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         53.652              ?              ?              ?        312.426           34.2           72.7          634.7       1996.888
     18/04/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         58.455              ?              ?              ?        310.604           33.8           72.8          609.8       1996.888
     19/04/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         60.278              ?              ?              ?        309.604           33.7           73.0          599.2       1996.888
     20/04/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         61.277              ?              ?              ?        308.826           34.0           73.5          599.2       1996.888
     21/04/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         62.056              ?              ?              ?        310.673           33.4           73.6          566.6       1996.888
     22/04/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         68.076              ?              ?              ?        320.624           30.0           73.2          535.8       1996.888
     23/04/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         73.036              ?              ?              ?        318.906           29.7           73.2          518.9       1996.888
     24/04/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         74.754              ?              ?              ?        317.920           29.8           73.4          514.0       1996.888
     25/04/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         75.739              ?              ?              ?        317.149           30.2           73.8          514.0       1996.888
     26/04/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         76.511              ?              ?              ?        316.493           30.6           74.3          514.0       1996.888
     27/04/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         77.167              ?              ?              ?        315.912           31.3           74.8          514.0       1996.888
     28/04/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         77.748              ?              ?              ?        315.386           32.0           75.3          514.0       1996.888
     29/04/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         78.274              ?              ?              ?        314.900           32.5           75.9          514.0       1996.888
     30/04/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         79.759              ?              ?              ?        314.448           32.9           76.5          514.0       1996.888
