ApsimVersion = 7.7
Title = 9a) Bambaroo 1995-96 Q124 P Fully Irrigated
           date           site         season          treat           year            day            das    crop_status      ratoon_no           samp     fertiliser     irrigation           rain         canefw        cane_wt     sucrose_wt         scmstf            ccs          scmst        biomass  green_biomass        leaf_wt     cabbage_wt       trash_wt            lai    swdef_photo    nfact_photo      biomass_n green_biomass_n         cane_N         leaf_N          cab_N        trash_N    n_conc_cane    n_conc_leaf     n_conc_cab       cane_dmc         no3(1)         no3(2)         no3(3)         no3(4)         no3(5)         no3(6)    flow_no3(6)      no3ppm(1)      no3ppm(2)      no3ppm(3)      no3ppm(4)      no3ppm(5)      no3ppm(6)         nh4(1)         nh4(2)         nh4(3)         nh4(4)         nh4(5)         nh4(6)      nh4ppm(1)      nh4ppm(2)      nh4ppm(3)      nh4ppm(4)      nh4ppm(5)      nh4ppm(6)
     15/07/1995       bambaroo        1995-96          1.000           1995            196             10          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            2.7            8.2            7.8            5.9            5.8           11.6            0.0          2.041          3.160          2.000          1.514          1.488          1.482           46.3            0.4            0.4            0.2            0.1            0.2         35.615          0.172          0.098          0.050          0.037          0.031
     16/07/1995       bambaroo        1995-96          1.000           1995            197             11          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            2.7            8.4            7.9            6.0            5.8           11.6            0.0          2.046          3.223          2.032          1.531          1.500          1.492           46.3            0.4            0.3            0.2            0.1            0.2         35.615          0.152          0.078          0.041          0.029          0.023
     17/07/1995       bambaroo        1995-96          1.000           1995            198             12          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            2.7            8.5            8.0            6.0            5.9           11.7            0.0          2.052          3.279          2.057          1.545          1.509          1.499           46.3            0.4            0.3            0.1            0.1            0.1         35.615          0.138          0.065          0.035          0.023          0.017
     18/07/1995       bambaroo        1995-96          1.000           1995            199             13          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            2.7            8.7            8.1            6.1            5.9           11.7            0.0          2.057          3.330          2.079          1.557          1.516          1.504           46.3            0.3            0.2            0.1            0.1            0.1         35.615          0.129          0.056          0.030          0.018          0.013
     19/07/1995       bambaroo        1995-96          1.000           1995            200             14          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            2.7            8.8            8.2            6.1            5.9           11.8            0.0          2.063          3.375          2.096          1.567          1.522          1.508           46.3            0.3            0.2            0.1            0.1            0.1         35.615          0.123          0.050          0.028          0.016          0.011
     20/07/1995       bambaroo        1995-96          1.000           1995            201             15          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            2.7            8.9            8.2            6.1            6.0           11.8            0.0          2.069          3.414          2.111          1.576          1.527          1.511           46.3            0.3            0.2            0.1            0.1            0.1         35.615          0.120          0.046          0.026          0.014          0.009
     21/07/1995       bambaroo        1995-96          1.000           1995            202             16          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            2.7            9.0            8.3            6.2            6.0           11.8            0.0          2.074          3.448          2.123          1.584          1.531          1.514           46.3            0.3            0.2            0.1            0.0            0.1         35.615          0.119          0.043          0.025          0.012          0.008
     22/07/1995       bambaroo        1995-96          1.000           1995            203             17          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            2.7            9.1            8.3            6.2            6.0           11.8            0.0          2.080          3.481          2.135          1.591          1.534          1.516           46.3            0.3            0.2            0.1            0.0            0.1         35.615          0.118          0.041          0.024          0.012          0.007
     23/07/1995       bambaroo        1995-96          1.000           1995            204             18          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            2.7            9.1            8.4            6.2            6.0           11.8            0.0          2.086          3.513          2.146          1.598          1.538          1.518           46.3            0.3            0.2            0.1            0.0            0.0         35.615          0.118          0.040          0.023          0.011          0.006
     24/07/1995       bambaroo        1995-96          1.000           1995            205             19          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            2.7            9.2            8.4            6.3            6.0           11.9            0.0          2.093          3.544          2.156          1.605          1.541          1.520           46.3            0.3            0.2            0.1            0.0            0.0         35.615          0.117          0.039          0.023          0.010          0.006
     25/07/1995       bambaroo        1995-96          1.000           1995            206             20          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            2.7            9.3            8.4            6.3            6.0           11.9            0.0          2.099          3.574          2.166          1.611          1.544          1.522           46.3            0.3            0.2            0.1            0.0            0.0         35.615          0.117          0.039          0.023          0.010          0.005
     26/07/1995       bambaroo        1995-96          1.000           1995            207             21          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            2.7            9.4            8.5            6.3            6.0           11.9            0.0          2.105          3.607          2.176          1.618          1.547          1.523           46.3            0.3            0.1            0.1            0.0            0.0         35.615          0.117          0.038          0.022          0.010          0.005
     27/07/1995       bambaroo        1995-96          1.000           1995            208             22          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            2.7            9.5            8.5            6.3            6.0           11.9            0.0          2.112          3.640          2.187          1.625          1.550          1.525           46.3            0.3            0.1            0.1            0.0            0.0         35.615          0.116          0.037          0.022          0.009          0.005
     28/07/1995       bambaroo        1995-96          1.000           1995            209             23          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            2.8            9.5            8.6            6.4            6.1           11.9            0.0          2.118          3.673          2.197          1.631          1.553          1.526           46.3            0.3            0.1            0.1            0.0            0.0         35.615          0.116          0.037          0.022          0.009          0.004
     29/07/1995       bambaroo        1995-96          1.000           1995            210             24          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            2.8            9.6            8.6            6.4            6.1           11.9            0.0          2.125          3.705          2.207          1.638          1.556          1.528           46.3            0.3            0.1            0.1            0.0            0.0         35.615          0.116          0.037          0.022          0.009          0.004
     30/07/1995       bambaroo        1995-96          1.000           1995            211             25          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            2.8            9.7            8.6            6.4            6.1           11.9            0.0          2.132          3.736          2.217          1.644          1.558          1.529           46.3            0.3            0.1            0.1            0.0            0.0         35.615          0.116          0.037          0.022          0.009          0.004
     31/07/1995       bambaroo        1995-96          1.000           1995            212             26          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            2.8            9.8            8.7            6.4            6.1           11.9            0.0          2.139          3.767          2.227          1.651          1.561          1.530           46.3            0.3            0.1            0.1            0.0            0.0         35.615          0.116          0.037          0.022          0.009          0.004
     01/08/1995       bambaroo        1995-96          1.000           1995            213             27          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            2.8            9.9            8.7            6.5            6.1           11.9            0.0          2.146          3.797          2.236          1.657          1.564          1.532           46.3            0.3            0.1            0.1            0.0            0.0         35.615          0.116          0.036          0.022          0.009          0.004
     02/08/1995       bambaroo        1995-96          1.000           1995            214             28          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            2.8            9.9            8.8            6.5            6.1           12.0            0.0          2.153          3.825          2.245          1.663          1.566          1.533           46.3            0.3            0.1            0.1            0.0            0.0         35.615          0.116          0.037          0.022          0.009          0.004
     03/08/1995       bambaroo        1995-96          1.000           1995            215             29          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            2.8           10.0            8.8            6.5            6.1           12.0            0.0          2.160          3.856          2.255          1.669          1.569          1.534           46.3            0.3            0.1            0.1            0.0            0.0         35.615          0.116          0.037          0.022          0.009          0.004
     04/08/1995       bambaroo        1995-96          1.000           1995            216             30          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            2.8           10.1            8.8            6.5            6.1           12.0            0.0          2.168          3.887          2.265          1.676          1.572          1.535           46.3            0.3            0.1            0.1            0.0            0.0         35.615          0.115          0.036          0.022          0.009          0.004
     05/08/1995       bambaroo        1995-96          1.000           1995            217             31          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            2.8           10.2            8.9            6.6            6.1           12.0            0.0          2.175          3.917          2.274          1.682          1.574          1.537           46.3            0.3            0.1            0.1            0.0            0.0         35.615          0.115          0.036          0.022          0.009          0.004
     06/08/1995       bambaroo        1995-96          1.000           1995            218             32          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            2.8           10.2            8.9            6.6            6.1           12.0            0.0          2.182          3.942          2.282          1.687          1.577          1.538           46.3            0.3            0.1            0.1            0.0            0.0         35.615          0.116          0.037          0.022          0.009          0.004
     07/08/1995       bambaroo        1995-96          1.000           1995            219             33          alive              0          0.000            0.0          0.000         57.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            7.1           10.4            9.9            6.6            6.2           12.0            0.0          5.495          3.999          2.536          1.698          1.579          1.539           40.9            0.3            0.1            0.1            0.0            0.0         31.467          0.115          0.037          0.022          0.009          0.004
     08/08/1995       bambaroo        1995-96          1.000           1995            220             34          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000           11.4           10.2           10.1            6.7            6.2           12.0            0.0          8.797          3.942          2.579          1.717          1.581          1.540           36.6            0.3            0.1            0.1            0.0            0.0         28.180          0.112          0.037          0.022          0.010          0.004
     09/08/1995       bambaroo        1995-96          1.000           1995            221             35          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000           15.2           10.1           10.1            6.8            6.2           12.0            0.0         11.706          3.888          2.601          1.739          1.583          1.541           32.9            0.3            0.1            0.1            0.0            0.0         25.336          0.111          0.037          0.023          0.010          0.004
     10/08/1995       bambaroo        1995-96          1.000           1995            222             36          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000           18.7           10.0           10.2            6.9            6.2           12.0            0.0         14.381          3.857          2.611          1.760          1.585          1.542           29.5            0.3            0.1            0.1            0.0            0.0         22.727          0.112          0.037          0.023          0.010          0.004
     11/08/1995       bambaroo        1995-96          1.000           1995            223             37          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000           22.2           10.0           10.2            6.9            6.2           12.0            0.0         17.093          3.843          2.616          1.780          1.587          1.543           26.1            0.3            0.1            0.1            0.0            0.0         20.086          0.113          0.037          0.023          0.010          0.004
     12/08/1995       bambaroo        1995-96          1.000           1995            224             38          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000           25.8           10.0           10.2            7.0            6.2           12.0            0.0         19.861          3.843          2.618          1.797          1.590          1.544           22.6            0.3            0.1            0.1            0.0            0.0         17.392          0.114          0.037          0.023          0.010          0.004
     13/08/1995       bambaroo        1995-96          1.000           1995            225             39          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000           29.2           10.0           10.2            7.1            6.2           12.1            0.0         22.480          3.853          2.620          1.812          1.593          1.545           19.3            0.3            0.1            0.1            0.0            0.0         14.846          0.116          0.037          0.023          0.010          0.004
     14/08/1995       bambaroo        1995-96          1.000           1995            226             40          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000           32.3           10.1           10.2            7.1            6.2           12.1            0.0         24.861          3.869          2.623          1.824          1.596          1.546           16.3            0.3            0.1            0.1            0.0            0.0         12.536          0.117          0.037          0.023          0.010          0.004
     15/08/1995       bambaroo        1995-96          1.000           1995            227             41          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000           35.0           10.1           10.2            7.2            6.2           12.1            0.0         26.906          3.889          2.625          1.834          1.598          1.547           13.7            0.3            0.1            0.1            0.0            0.0         10.557          0.118          0.037          0.023          0.010          0.004
     16/08/1995       bambaroo        1995-96          1.000           1995            228             42          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000           37.3           10.2           10.3            7.2            6.2           12.1            0.0         28.670          3.909          2.630          1.843          1.601          1.548           11.5            0.3            0.1            0.1            0.0            0.0          8.857          0.119          0.037          0.023          0.010          0.004
     17/08/1995       bambaroo        1995-96          1.000           1995            229             43          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000           39.2           10.2           10.3            7.2            6.3           12.1            0.0         30.160          3.929          2.636          1.850          1.604          1.549            9.7            0.3            0.1            0.1            0.0            0.0          7.425          0.119          0.037          0.023          0.010          0.004
     18/08/1995       bambaroo        1995-96          1.000           1995            230             44          alive              0          0.000            0.0          0.000          2.500          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000           40.9           10.3           10.3            7.2            6.3           12.1            0.0         31.442          3.949          2.642          1.857          1.607          1.551            8.1            0.3            0.1            0.1            0.0            0.0          6.212          0.120          0.037          0.023          0.010          0.004
     19/08/1995       bambaroo        1995-96          1.000           1995            231             45          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000           42.3           10.3           10.3            7.3            6.3           12.1            0.0         32.538          3.970          2.650          1.863          1.609          1.552            6.7            0.3            0.1            0.1            0.0            0.0          5.176          0.120          0.038          0.023          0.010          0.004
     20/08/1995       bambaroo        1995-96          1.000           1995            232             46          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000           43.6           10.4           10.4            7.3            6.3           12.1            0.0         33.517          3.992          2.658          1.869          1.612          1.553            5.5            0.3            0.1            0.1            0.0            0.0          4.256          0.120          0.038          0.023          0.010          0.004
     21/08/1995       bambaroo        1995-96          1.000           1995            233             47          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000           44.7           10.4           10.4            7.3            6.3           12.1            0.0         34.365          4.016          2.667          1.875          1.615          1.554            4.5            0.3            0.1            0.1            0.0            0.0          3.467          0.120          0.038          0.023          0.010          0.004
